"pid","hid","age","sex","n.samples","wave","reporting.day","typical.day","n.contact.total","n.locations","n.loc.group","n.contact.0-4","n.contact.5-19","n.contact.20-39","n.contact.40-64","n.contact.65+","n.contact.touch","n.contact.0-4.touch","n.contact.5-19.touch","n.contact.20-39.touch","n.contact.40-64.touch","n.contact.65+.touch","n.contact.home","n.contact.school","n.contact.work","n.contact.other"
1450,124,40,"F",1,"R4","Saturday","no",11,3,"2",0,0,5,6,0,8,0,0,2,6,0,0,0,5,6
167,124,41,"F",4,"R4","Saturday","no",11,3,"2",0,2,1,6,2,2,0,1,0,1,0,10,1,0,0
182,134,56,"F",4,"R4","Saturday","yes",45,1,"0",0,30,0,33,12,2,0,0,0,0,2,0,0,45,0
1288,826,62,"F",3,"R4","Saturday","yes",4,1,"0",2,0,1,1,0,2,2,0,0,0,0,4,0,0,0
277,190,14,"F",4,"R4","Saturday","yes",1,1,"0",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
278,190,48,"F",3,"R4","Saturday","no",5,3,"2",0,1,2,2,0,1,0,1,0,0,0,2,0,0,3
306,203,44,"M",4,"R4","Saturday","yes",14,3,"2",0,1,8,13,0,7,0,1,3,3,0,2,0,0,12
806,562,63,"M",4,"R4","Saturday","yes",6,2,"1",0,0,1,5,0,0,0,0,0,0,0,1,0,0,5
808,564,49,"F",4,"R4","Saturday","yes",10,4,"3",0,0,5,4,1,3,0,0,0,2,1,1,0,0,9
375,245,54,"F",4,"R4","Sunday","yes",4,3,"2",0,0,3,1,0,4,0,0,3,1,0,3,0,0,3
414,271,53,"F",2,"R4","Sunday","no",10,4,"3",0,0,1,8,1,1,0,0,0,1,0,1,0,0,9
415,271,57,"M",3,"R4","Sunday","no",22,4,"3",0,0,5,16,16,1,0,0,0,1,0,1,0,0,21
862,296,41,"F",4,"R4","Sunday","yes",7,2,"1",0,2,2,5,0,3,0,2,0,1,0,3,0,0,4
453,296,45,"M",4,"R4","Sunday","yes",12,2,"1",0,10,8,10,8,4,0,2,0,2,0,3,0,0,9
1136,652,48,"F",3,"R4","Sunday","no",12,1,"0",0,2,8,10,0,12,0,2,2,8,0,12,0,0,0
938,652,55,"M",4,"R4","Sunday","yes",11,1,"0",0,1,9,9,8,1,0,0,0,1,0,11,0,0,0
1152,304,10,"F",3,"R4","Sunday","yes",24,4,"3",0,10,20,5,0,22,0,7,12,3,0,3,0,0,21
464,304,47,"F",4,"R4","Sunday","no",194,4,"3",120,121,191,192,190,156,5,21,48,55,27,3,0,0,191
1153,304,47,"M",2,"R4","Sunday","no",68,5,"4",30,51,66,66,20,48,0,5,19,22,2,3,0,0,65
959,670,61,"F",4,"R4","Sunday","no",2,1,"0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1356,673,32,"F",2,"R4","Sunday","no",6,2,"1",2,2,3,1,0,4,1,1,1,1,0,2,0,0,4
962,673,61,"F",4,"R4","Sunday","no",16,5,"4",2,2,10,6,4,4,1,1,1,0,1,7,0,0,9
565,374,45,"F",3,"R4","Sunday","yes",19,2,"1",0,0,16,17,2,2,0,0,0,1,1,3,0,0,16
580,386,52,"F",3,"R4","Sunday","yes",3,4,"3",0,0,0,3,0,2,0,0,0,2,0,1,0,0,3
1019,721,41,"F",4,"R4","Sunday","yes",8,3,"2",0,5,3,0,0,3,0,3,0,0,0,1,0,6,1
633,430,59,"F",3,"R4","Sunday","no",8,4,"3",0,0,3,7,0,5,0,0,1,4,0,1,0,0,7
639,436,64,"F",3,"R4","Sunday","yes",2,1,"0",0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
683,465,36,"F",4,"R4","Sunday","yes",3,1,"0",0,2,0,1,0,3,0,2,0,1,0,3,0,0,0
696,476,59,"M",4,"R4","Sunday","yes",10,2,"1",0,9,9,9,10,0,0,0,0,0,0,1,0,0,10
22,22,39,"F",3,"R4","Saturday","yes",27,5,"4",0,22,23,21,1,5,0,2,1,2,0,5,0,0,23
37,37,38,"F",4,"R4","Saturday","no",7,2,"1",0,2,4,5,4,4,0,2,1,1,0,3,0,0,4
40,40,55,"M",4,"R4","Saturday","yes",8,4,"3",0,0,5,5,2,3,0,0,1,2,0,1,0,0,8
